u	v	w (min)
1	2	3
2	3	2
3	4	2
4	5	4
5	6	2
6	7	2
7	8	3
8	9	2
9	10	2
10	11	5
11	12	3
12	13	2
13	14	2
14	15	2
15	16	2
16	17	2
17	18	3
18	19	3
19	20	3
20	21	5
21	22	6
22	23	4
23	24	2
24	25	3
25	26	4
26	27	3
16	28	3
28	29	3
29	9	4
9	30	3
30	31	3
31	32	4
32	33	6
33	34	2
34	35	6
35	36	2
36	37	7
36	38	13
39	40	1
40	41	2
41	42	2
42	43	2
43	20	3
20	44	1
44	45	2
45	46	2
46	47	2
47	48	1
48	49	2
49	50	2
50	51	2
51	52	3
52	53	2
54	55	2
55	56	2
56	57	2
57	53	2
52	58	1
58	59	3
59	60	2
60	61	1
61	62	2
62	63	2
63	64	2
64	65	2
65	66	2
66	67	2
67	68	2
69	15	2
15	49	2
47	70	2
70	29	2
29	71	2
71	72	2
72	11	2
11	73	2
73	74	2
74	75	2
75	76	2
76	77	2
77	78	2
78	79	2
80	81	7
81	82	6
82	43	4
43	19	3
19	83	2
83	84	2
84	85	3
86	87	2
87	89	4
88	89	7
79	89	2
63	78	4
81	90	4
91	92	2
92	93	2
93	94	2
94	52	5